1276	4702
1277	4703
1277	344904
1280	4705
1282	4707
1282	1596593
1283	4708
1284	4709
1284	195279
1284	214752
1284	214754
1284	214821
1284	3557602
1286	4711
1286	157243
1286	1050420
1287	4712
1288	4713
1288	187759
1289	4714
1290	4715
1291	4716
1292	4717
1294	4720
1295	176879
1296	176880
1296	405903
1298	75537
1299	4726
1300	4727
1301	4728
1302	4729
1303	4730
1304	4731
1305	4732
1306	4733
1308	4735
1308	179195
1308	234255
1309	4736
1310	4737
1311	4738
1312	4739
1312	789580
1313	4740
1314	4741
1315	4742
1316	4743
1317	4744
1317	454420
1318	4745
1319	330721
1320	4746
1322	4747
1323	4748
1324	4749
1324	2503987
1325	4750
1326	4751
1326	81591
1327	4752
1328	4753
1328	1596594
1328	4804647
1329	4754
1329	182508
1329	216944
1329	387691
1329	5955881
1330	4755
1332	4757
1333	4758
1334	4759
1334	75497
1335	4760
1336	4761
1336	920400
1337	4762
1338	4763
1339	4764
1340	4765
1340	203825
1341	4766
1341	473878
1341	792686
1343	4767
1344	4768
1345	4769
1346	4770
1347	4771
1348	4772
1349	4773
1350	4774
1351	330722
1352	4775
1353	4776
1354	4777
1355	4778
1355	1141342
1356	4779
1357	4780
1358	4781
1359	4782
1360	4783
1360	1596595
1361	4784
1362	182287
1363	4785
1364	4786
1364	8791760
1365	181951
1366	4787
1367	4788
1368	4789
1368	1596597
1369	4790
1370	4791
1372	4793
1372	1596596
1373	4794
1374	4795
1375	4796
1376	4797
1377	4798
1378	181952
1379	4799
1380	4800
1381	181953
1382	4801
1383	4802
1384	4803
1385	4804
1386	4805
1387	4806
1388	4807
1389	4808
1390	4809
1391	4810
1391	137500
1391	8555812
1391	8555822
1392	4811
1393	4812
1394	4813
1395	4814
1395	194057
1395	387694
1396	4815
1397	4816
1398	4817
1399	4818
1400	4819
1401	4820
1402	4821
1403	4822
1404	4823
1407	4825
1408	4826
1408	4260154
1409	4827
1410	4828
1411	4829
1413	4831
1414	4832
1415	4833
1417	4835
1418	4836
1419	4837
1420	4838
1421	4839
1421	8591396
1422	4840
1423	4841
1424	4842
1425	4843
1426	4844
1427	4845
1428	4846
1429	4847
1430	181956
1431	4848
1432	4849
1432	3449196
1433	4850
1434	4851
1434	137571
1434	161619
1434	162285
1434	178541
1434	179014
